Crop Type,Water Availability,Rainfall (mm),Soil Type,Soil Moisture (%),Temperature ,Evaporation Rate (mm/day),Irrigation Type
Wheat,High,160.5060934,Black,12.96168872,31.12153057,3.09096262,Furrow Irrigation
Tobacco,Medium,132.7223407,Red,34.21930677,15.58831236,7.824098062,Furrow Irrigation
Ground Nuts,High,162.1943935,Black,30.67159757,25.7405716,8.505181241,Drip Irrigation
Millets,Low,217.3476004,Red,39.60645475,21.9734519,4.059831809,Border Irrigation
Paddy,Medium,86.43914206,Clay,35.22801885,18.22936113,8.195355957,Basin Irrigation
Wheat,Low,162.3584588,Clay,31.98425074,17.48866282,5.084428515,Drip Irrigation
Pulses,High,196.9710928,Black,37.59115397,30.07980414,6.053486327,Drip Irrigation
Cotton,High,287.1458387,Loamy,15.75767654,28.09001368,8.848008599,Surface Irrigation
Wheat,High,113.1319455,Red,33.81438645,21.33960292,7.999629454,Surface Irrigation
Ground Nuts,Low,139.812687,Sandy,16.88442411,26.77375147,8.440934811,Sprinkler Irrigation
Ground Nuts,Low,144.8396475,Black,47.02088831,27.30580788,3.094761333,Drip Irrigation
Millets,Low,201.3845394,Sandy,12.73336419,19.87522451,2.557755407,Sprinkler Irrigation
Paddy,Low,139.1830133,Black,27.21498999,31.30232655,9.147237833,Sprinkler Irrigation
Tobacco,High,183.3779813,Loamy,37.83189911,34.52298391,5.102674157,Drip Irrigation
Millets,High,245.4475825,Loamy,28.32088847,34.78658852,4.303037425,Basin Irrigation
Millets,Medium,226.3463985,Loamy,13.68381013,30.06174577,7.797570034,Furrow Irrigation
Cotton,Medium,161.5921616,Saline,32.13516065,27.79096456,8.691324773,Subsurface Irrigation
Barley,Low,266.0540444,Loamy,35.66527635,16.52517858,8.899916975,Surface Irrigation
Paddy,High,189.5350624,Clay,38.15169244,22.19578247,4.527977129,Drip Irrigation
Sugarcane,High,184.9764599,Clay,24.93039258,17.33178617,8.81769913,Basin Irrigation
Millets,High,58.54694148,Saline,32.54639884,39.09557902,2.327471555,Basin Irrigation
Barley,Medium,296.6732451,Red,28.027459,18.37700366,2.397291932,Surface Irrigation
Sugarcane,Medium,80.74270213,Sandy,36.88224155,18.79438525,6.988153561,Basin Irrigation
Paddy,High,107.7827281,Black,33.34227869,37.23941546,2.504850953,Basin Irrigation
Maize,High,62.92420931,Black,31.03024878,38.59820709,4.596873348,Surface Irrigation
Pulses,High,210.0007417,Saline,19.98097467,34.14572598,7.38204789,Furrow Irrigation
Barley,Medium,106.1752942,Clay,10.08074071,15.13512309,4.698135168,Furrow Irrigation
Oil Seeds,High,95.00260937,Black,16.96326701,15.03365677,3.436798252,Furrow Irrigation
Maize,High,72.13889606,Clay,14.68264166,24.45251924,4.250804975,Furrow Irrigation
Ground Nuts,Low,75.82723928,Red,27.9633898,18.58488425,5.660602658,Border Irrigation
Ground Nuts,Low,196.1676751,Sandy,34.49032603,15.45965355,5.803086843,Manual Irrigation
Pulses,Medium,222.0519665,Red,18.52340035,26.60166724,8.264001851,Furrow Irrigation
Cotton,High,149.3447471,Saline,47.56228384,38.57654744,8.001225835,Drip Irrigation
Wheat,High,169.9742704,Loamy,10.26728517,23.09548937,5.654542436,Sprinkler Irrigation
Tobacco,Low,221.491934,Loamy,40.89204061,31.52851696,8.765338793,Sprinkler Irrigation
Oil Seeds,Medium,54.34494755,Loamy,35.00819078,31.30588383,2.913897109,Border Irrigation
Cotton,Low,130.7826643,Red,24.94219204,21.27700259,4.042826802,Basin Irrigation
Paddy,Low,293.274437,Black,12.01955778,31.26063122,8.623811708,Surface Irrigation
Cotton,Low,195.0280574,Sandy,35.09946287,20.30834936,5.023952309,Basin Irrigation
Wheat,Low,113.556145,Loamy,25.42454051,18.05018534,9.84945247,Sprinkler Irrigation
Paddy,High,180.4325117,Saline,47.45068558,32.53458214,5.730026252,Drip Irrigation
Oil Seeds,High,135.663372,Saline,31.679603,17.83602043,8.335484984,Drip Irrigation
Wheat,Low,183.0612472,Loamy,47.58606045,39.92273046,5.218456331,Border Irrigation
Sugarcane,Medium,81.43537795,Loamy,18.81934774,19.58631003,5.399628152,Basin Irrigation
Tobacco,Medium,83.17866345,Sandy,39.02903641,29.85354657,5.063065178,Manual Irrigation
Oil Seeds,Medium,85.88559051,Loamy,34.68996083,25.28436429,7.752604964,Sprinkler Irrigation
Sugarcane,Medium,284.954948,Sandy,39.57632919,18.15966056,6.380143072,Surface Irrigation
Pulses,Low,233.2247296,Saline,18.58671456,15.69609769,9.550224891,Sprinkler Irrigation
Oil Seeds,High,90.59547367,Loamy,36.59978065,30.56830706,4.007122532,Drip Irrigation
Pulses,Medium,97.08727094,Red,29.92161572,35.16893909,2.804501857,Drip Irrigation
Paddy,Low,232.7073687,Red,39.712999,36.05039154,5.146091881,Basin Irrigation
Sugarcane,Medium,89.0409612,Saline,23.08178577,27.06783683,6.933701661,Basin Irrigation
Tobacco,Medium,108.6403233,Sandy,45.60228102,34.43638668,8.886391495,Drip Irrigation
Wheat,Low,290.8367082,Red,13.37205258,31.82117834,4.769575093,Surface Irrigation
Millets,High,113.8266312,Sandy,42.28757275,33.10636319,7.230294009,Drip Irrigation
Cotton,High,215.4080876,Red,44.45278503,27.31497513,4.801589448,Drip Irrigation
Maize,Low,294.6578219,Red,42.69009245,30.83529351,6.937756664,Surface Irrigation
Tobacco,High,143.5741918,Sandy,30.50905577,35.13814784,9.078463576,Manual Irrigation
Sugarcane,Low,54.37899772,Black,27.5353992,24.94710439,3.850861138,Basin Irrigation
Millets,Low,111.0368226,Red,49.85049146,35.14947252,5.233933137,Furrow Irrigation
Tobacco,Low,257.7192978,Loamy,19.16687805,29.80042107,9.946121571,Surface Irrigation
Sugarcane,High,266.152209,Saline,31.87503864,19.14752561,8.948456226,Surface Irrigation
Barley,Low,242.1298411,Black,36.82702102,15.61710393,6.517118863,Basin Irrigation
Barley,Medium,78.27745477,Sandy,38.03470543,24.06884001,6.133020735,Drip Irrigation
Pulses,High,248.8775929,Black,18.16098663,28.66740821,4.276803058,Furrow Irrigation
Tobacco,High,279.6694492,Clay,36.15976369,35.99550881,6.137675422,Drip Irrigation
Barley,High,200.1523856,Clay,42.73478266,18.187142,8.785451986,Drip Irrigation
Sugarcane,High,285.2188391,Red,12.00074307,35.00515869,7.481396106,Surface Irrigation
Pulses,Medium,256.7097209,Red,46.46085173,36.57522615,4.320352225,Surface Irrigation
Sugarcane,High,216.7428792,Loamy,11.18016221,18.76718718,3.611711368,Basin Irrigation
Pulses,High,194.2963092,Saline,24.2388413,36.28985798,4.121668296,Surface Irrigation
Tobacco,Low,137.1434168,Black,10.63252785,39.7863392,3.358073611,Furrow Irrigation
Millets,High,89.82186131,Clay,13.08580674,33.17097078,2.765125568,Furrow Irrigation
Wheat,Medium,201.2384807,Red,46.44673141,34.61924205,5.353089396,Surface Irrigation
Oil Seeds,Medium,129.5278884,Saline,24.19443323,39.86038169,2.906396835,Basin Irrigation
Millets,Medium,266.6096669,Black,26.99086122,30.13703126,3.375300462,Surface Irrigation
Paddy,Medium,298.3342343,Red,18.61377526,22.69715955,6.378597475,Surface Irrigation
Sugarcane,High,238.1069407,Red,33.88383081,35.93827085,3.31679419,Basin Irrigation
Paddy,High,72.62042382,Clay,33.79212859,30.36214444,2.511038139,Basin Irrigation
Millets,Medium,122.1713989,Clay,24.88801567,29.52988559,4.5391108,Surface Irrigation
Pulses,Medium,77.27740794,Red,23.32139487,21.34088889,3.762552789,Manual Irrigation
Oil Seeds,High,212.6279119,Sandy,45.39857233,33.90835674,6.122441504,Drip Irrigation
Oil Seeds,Medium,241.2977161,Red,25.33136959,17.0416819,2.818936677,Furrow Irrigation
Maize,Low,281.4187077,Saline,29.74003969,38.10717677,8.014166301,Surface Irrigation
Oil Seeds,Medium,159.5430866,Red,21.3321905,23.14558652,9.249868155,Sprinkler Irrigation
Wheat,Medium,275.3439124,Loamy,41.47078013,18.19436632,7.947481392,Surface Irrigation
Oil Seeds,Low,269.4727898,Loamy,25.89792628,26.05916333,6.262616299,Surface Irrigation
